Customer_ID,Monthly_Bill,Call_Drop_Rate,Internet_Speed_Mbps,Customer_Service_Rating,Churn
CUST1048,391.0,16.75,6.7,4.0,Yes
CUST1049,1255.0,13.51,57.5,1.0,Yes
CUST1050,808.0,14.7,17.5,1.0,Yes
CUST1051,1075.0,4.18,13.8,1.0,Yes
CUST1052,334.0,10.83,35.5,5.0,Yes
CUST1053,505.0,13.92,11.0,2.0,Yes
CUST1054,1404.0,4.57,11.2,4.0,Yes
CUST1055,1325.0,3.5,32.5,5.0,No
CUST1056,1321.0,19.64,98.0,5.0,Yes
CUST1057,865.0,10.33,19.2,5.0,Yes
CUST1058,1429.0,5.22,3.7,5.0,Yes
CUST1059,1002.0,19.93,76.8,5.0,Yes
CUST1060,701.0,19.31,81.1,3.0,Yes
CUST1061,1029.0,11.17,35.9,4.0,Yes
CUST1062,461.0,17.65,47.5,5.0,Yes
CUST1063,501.0,3.77,65.7,4.0,No
CUST1064,,,,,Yes
CUST1065,569.0,14.01,95.0,3.0,Yes
CUST1066,1115.0,16.93,88.9,4.0,Yes
CUST1067,755.0,17.13,27.6,1.0,Yes
CUST1068,1316.0,8.09,3.5,2.0,Yes
CUST1069,595.0,17.76,93.5,1.0,Yes
CUST1070,1019.0,17.02,51.1,1.0,Yes
CUST1071,637.0,18.71,54.9,1.0,Yes
CUST1072,1178.0,15.71,69.0,5.0,Yes
CUST1073,,,,,Yes
CUST1074,1091.0,11.61,94.5,1.0,Yes
CUST1075,516.0,7.45,94.5,3.0,Yes
CUST1076,,,,,Yes
CUST1077,487.0,19.47,64.4,2.0,Yes
CUST1078,,,,,No
CUST1079,792.0,6.11,68.4,4.0,Yes
CUST1080,1364.0,9.71,58.2,5.0,Yes
CUST1081,1480.0,8.97,14.6,2.0,Yes
CUST1082,314.0,19.89,81.5,4.0,Yes
CUST1083,364.0,3.52,82.4,4.0,No
CUST1084,820.0,0.36,63.3,2.0,Yes
CUST1085,1452.0,9.88,82.4,2.0,Yes
CUST1086,947.0,3.58,65.8,4.0,No
CUST1087,1386.0,7.33,22.3,2.0,Yes
CUST1088,1462.0,14.88,28.8,4.0,Yes
CUST1089,892.0,14.42,23.0,4.0,Yes
CUST1090,691.0,6.16,39.0,5.0,Yes
CUST1091,718.0,10.85,5.8,1.0,Yes
CUST1092,588.0,10.18,62.6,4.0,Yes
CUST1093,678.0,12.73,35.0,3.0,Yes
CUST1094,530.0,5.01,66.3,1.0,Yes
CUST1095,1317.0,11.8,39.8,1.0,Yes
CUST1096,340.0,19.58,68.8,1.0,Yes
CUST1097,1351.0,9.73,35.4,5.0,Yes
CUST1098,434.0,18.12,27.5,4.0,Yes
CUST1099,500.0,8.69,50.6,5.0,No
CUST1100,1079.0,7.0,69.9,4.0,Yes
CUST1101,1229.0,12.9,36.1,5.0,Yes
CUST1102,1356.0,13.38,93.8,5.0,No
CUST1103,1371.0,17.28,5.8,3.0,Yes
CUST1104,802.0,4.6,43.0,5.0,No
CUST1105,706.0,9.98,96.8,2.0,Yes
CUST1106,1104.0,11.44,55.7,3.0,Yes
CUST1107,398.0,15.37,43.5,5.0,Yes
CUST1108,983.0,0.87,57.7,1.0,Yes
CUST1109,1025.0,19.89,58.4,2.0,Yes
CUST1110,1260.0,9.4,73.7,2.0,Yes
CUST1111,912.0,5.59,14.5,2.0,Yes
CUST1112,942.0,17.67,26.5,3.0,Yes
CUST1113,1328.0,14.95,58.9,5.0,Yes
CUST1114,802.0,19.06,87.0,5.0,Yes
CUST1115,1066.0,6.62,57.1,1.0,Yes
CUST1116,697.0,11.06,25.4,1.0,Yes
CUST1117,1170.0,11.45,68.6,2.0,Yes
CUST1118,,,,,Yes
CUST1119,692.0,1.51,25.3,3.0,Yes
CUST1120,506.0,6.11,39.0,5.0,No
CUST1121,1338.0,3.82,54.4,2.0,Yes
CUST1122,1191.0,5.37,50.7,1.0,Yes
CUST1123,1163.0,9.71,40.2,3.0,Yes
CUST1124,1042.0,7.45,31.2,3.0,Yes
CUST1125,863.0,7.89,11.8,1.0,Yes
CUST1126,1320.0,16.88,7.2,5.0,Yes
CUST1127,395.0,18.6,95.9,1.0,Yes
CUST1128,784.0,1.41,85.0,2.0,No
CUST1129,530.0,4.18,36.8,1.0,Yes
CUST1130,1048.0,13.42,95.8,3.0,Yes
CUST1131,1494.0,7.17,68.3,1.0,Yes
CUST1132,840.0,5.08,49.3,5.0,No
CUST1133,1359.0,5.91,50.3,4.0,No
CUST1134,824.0,6.45,10.2,1.0,Yes
CUST1135,1483.0,16.97,11.0,5.0,Yes
CUST1136,1409.0,2.73,61.0,5.0,No
CUST1137,877.0,14.18,56.3,3.0,Yes
CUST1138,981.0,11.06,22.8,5.0,Yes
CUST1139,856.0,5.93,94.7,5.0,No
CUST1140,1312.0,8.4,78.6,5.0,Yes
CUST1141,,,,,Yes
CUST1142,1095.0,12.23,93.2,2.0,Yes
CUST1143,1351.0,1.63,97.5,2.0,Yes
CUST1144,489.0,0.1,99.6,3.0,No
CUST1145,932.0,12.56,7.5,1.0,Yes
CUST1146,927.0,3.89,74.2,5.0,No
CUST1147,1272.0,1.42,55.5,1.0,Yes
CUST1148,1009.0,7.94,71.2,1.0,Yes
CUST1149,948.0,1.02,96.9,3.0,No
